 -99.90 -99.90 20171003 09 20171003 09 0.10E+01   201  3  3 1.00 1.00 -179.0    0.0 360  89 "CORRELATION MAP"
  1
  17.95  59.41
 51.00    14.00   16  0.4995157E-08   0.2798093E-08   0.4999796E-03
 52.00    14.00   16  0.5313799E-05   0.2886282E-05   0.4993319E-03
 50.00    15.00   16  0.1467958E-10   0.1021864E-09   0.4999989E-03
 51.00    15.00   16  0.2753648E-04   0.1297581E-06   0.4984714E-03
 52.00    15.00   16  0.2253666E-02   0.1143525E-04   0.4851844E-03
 50.00    16.00   16  0.7003578E-05   0.9969450E-07   0.4992326E-03
 51.00    16.00   16  0.8784943E-01   0.1580606E-04   0.3743584E-03
 52.00    16.00   16  0.9989582E+00   0.2133735E-03  -0.8792500E-05
 53.00    16.00   16  0.7500000E+00   0.4861982E-02   0.2500000E-03
 54.00    16.00   16  0.7500001E+00   0.5678403E-01   0.2500000E-03
 50.00    17.00   16  0.3521294E-03   0.9492276E-06   0.4944079E-03
 51.00    17.00   16  0.9994668E+00   0.1018171E-03   0.6930844E-05
 52.00    17.00   16  0.7585276E+00   0.5155732E-04   0.2442822E-03
 53.00    17.00   16  0.7500001E+00   0.6454584E-04   0.2500000E-03
 54.00    17.00   16  0.7500000E+00   0.1419294E-03   0.2500000E-03
 55.00    17.00   16  0.7500000E+00   0.2940322E-02   0.2500000E-03
 56.00    17.00   16  0.7500000E+00   0.1452046E-01   0.2500000E-03
 57.00    17.00   16  0.7500002E+00   0.7675277E-02   0.2500000E-03
 58.00    17.00   16  0.7500002E+00   0.3882321E-02   0.2500000E-03
 59.00    17.00   16  0.7499999E+00   0.6213495E-05   0.2500000E-03
 50.00    18.00   16  0.7128848E-03   0.1004528E-05   0.4919387E-03
 51.00    18.00   16  0.9784399E+00   0.1054594E-03  -0.3114768E-04
 52.00    18.00   16  0.7519966E+00   0.5504330E-04   0.2486673E-03
 53.00    18.00   16  0.7500001E+00   0.2938751E-04   0.2500000E-03
 54.00    18.00   16  0.7500001E+00   0.2950418E-04   0.2500000E-03
 55.00    18.00   16  0.7500001E+00   0.1462276E-03   0.2500000E-03
 56.00    18.00   16  0.7500000E+00   0.3625805E-04   0.2500000E-03
 57.00    18.00   16  0.7500000E+00   0.1212597E-04   0.2500000E-03
 58.00    18.00   16  0.7500001E+00   0.5314539E-05   0.2500000E-03
 59.00    18.00   16  0.7500000E+00   0.9285937E-05   0.2500000E-03
 50.00    19.00   16  0.3749020E-03   0.6333053E-06   0.4942242E-03
 51.00    19.00   16  0.7581775E+00   0.4105442E-04  -0.2695830E-05
 52.00    19.00   16  0.7582283E+00   0.3200263E-04   0.2444841E-03
 53.00    19.00   16  0.7500000E+00   0.3484761E-04   0.2500000E-03
 54.00    19.00   16  0.7500001E+00   0.2334941E-04   0.2500000E-03
 55.00    19.00   16  0.7500000E+00   0.1192080E-04   0.2500000E-03
 56.00    19.00   16  0.7500001E+00   0.7882866E-05   0.2500000E-03
 57.00    19.00   16  0.7500000E+00   0.8416899E-05   0.2500000E-03
 58.00    19.00   16  0.7500000E+00   0.2093698E-04   0.2500000E-03
 59.00    19.00   16  0.7500001E+00   0.1713711E-02   0.2500000E-03
 50.00    20.00   16  0.3754607E-04   0.3363050E-06   0.4982124E-03
 51.00    20.00   16  0.4585007E+00   0.2478842E-04   0.1269100E-03
 52.00    20.00   16  0.7646932E+00   0.1196212E-04   0.2401067E-03
 53.00    20.00   16  0.7500001E+00   0.9712321E-05   0.2500000E-03
 54.00    20.00   16  0.7500001E+00   0.8991093E-05   0.2500000E-03
 55.00    20.00   16  0.7500000E+00   0.1436108E-04   0.2500000E-03
 56.00    20.00   16  0.7500000E+00   0.6208343E-04   0.2500000E-03
 57.00    20.00   16  0.7499999E+00   0.8547400E-03   0.2500000E-03
 58.00    20.00   16  0.7500001E+00   0.3617012E+00   0.2500000E-03
 50.00    21.00   16  0.1279184E-05   0.1708070E-06   0.4996729E-03
 51.00    21.00   16  0.2382513E+00   0.2895949E-04   0.2578948E-03
 52.00    21.00   16  0.7854679E+00   0.2139493E-04   0.2257664E-03
 53.00    21.00   16  0.7500001E+00   0.2094389E-04   0.2500000E-03
 54.00    21.00   16  0.7499999E+00   0.4796494E-04   0.2500000E-03
 55.00    21.00   16  0.7500000E+00   0.7862259E-03   0.2500000E-03
 56.00    21.00   16  0.7499999E+00   0.1841912E+01   0.2500000E-03
 50.00    22.00   16  0.6336533E-07   0.3215157E-06   0.4999273E-03
 51.00    22.00   16  0.6703286E-01   0.9883851E-04   0.3942920E-03
 52.00    22.00   16  0.8653660E+00   0.4857993E-03   0.1658511E-03
 53.00    22.00   16  0.7500000E+00   0.1378070E-02   0.2500000E-03
 54.00    22.00   16  0.7500001E+00   0.3383372E-01   0.2500000E-03
 51.00    23.00   16  0.1505582E-02   0.1184910E-02   0.4880545E-03
 52.00    23.00   16  0.5004747E+00   0.4497675E+00   0.1054251E-03
 50.00    15.00   17  0.3072102E-05   0.3879432E-07   0.4994925E-03
 51.00    15.00   17  0.1406760E-03   0.6399713E-06   0.4965061E-03
 52.00    15.00   17  0.2534725E-01   0.2075545E-02   0.4419532E-03
 49.00    16.00   17  0.1075819E-05   0.4530818E-07   0.4997001E-03
 50.00    16.00   17  0.2328146E-01   0.7172602E-05   0.4448282E-03
 51.00    16.00   17  0.4873133E+00   0.9005314E-04   0.1120523E-03
 52.00    16.00   17  0.7988938E+00   0.3729724E-02   0.2162619E-03
 53.00    16.00   17  0.7500000E+00   0.7578390E-01   0.2500000E-03
 54.00    16.00   17  0.7500000E+00   0.8472378E+00   0.2500000E-03
 49.00    17.00   17  0.1040184E-03   0.4879963E-06   0.4970040E-03
 50.00    17.00   17  0.8434225E+00   0.1195023E-03  -0.2661638E-04
 51.00    17.00   17  0.7849132E+00   0.5930592E-04   0.2261550E-03
 52.00    17.00   17  0.7502375E+00   0.1748996E-03   0.2498417E-03
 53.00    17.00   17  0.7500001E+00   0.4930539E-03   0.2500000E-03
 54.00    17.00   17  0.7500001E+00   0.8899556E-02   0.2500000E-03
 55.00    17.00   17  0.7500001E+00   0.1210114E+02   0.2500000E-03
 56.00    17.00   17  0.7500001E+00   0.5144640E+00   0.2500000E-03
 57.00    17.00   17  0.7500000E+00   0.5520389E+00   0.2500000E-03
 58.00    17.00   17  0.7484165E+00   0.4627205E-01   0.2494743E-03
 49.00    18.00   17  0.2994473E-04   0.2298484E-06   0.4984054E-03
 50.00    18.00   17  0.1411662E+00   0.2634614E-04   0.3289022E-03
 51.00    18.00   17  0.7859117E+00   0.5758089E-04   0.2254553E-03
 52.00    18.00   17  0.7499999E+00   0.3896559E-04   0.2500000E-03
 53.00    18.00   17  0.7500001E+00   0.4475857E-04   0.2500000E-03
 54.00    18.00   17  0.7500000E+00   0.1211706E-03   0.2500000E-03
 55.00    18.00   17  0.7500000E+00   0.8754645E-03   0.2500000E-03
 56.00    18.00   17  0.7499999E+00   0.1899568E-03   0.2500000E-03
 57.00    18.00   17  0.7499999E+00   0.2900958E-04   0.2500000E-03
 58.00    18.00   17  0.6477063E+00   0.6526635E-05   0.2242085E-03
 49.00    19.00   17  0.2209964E-07   0.1390457E-07   0.4999571E-03
 50.00    19.00   17  0.2429343E-01   0.4958885E-05   0.4434093E-03
 51.00    19.00   17  0.9329300E+00   0.4600728E-04   0.1057451E-03
 52.00    19.00   17  0.7500135E+00   0.4418189E-04   0.2499909E-03
 53.00    19.00   17  0.7500000E+00   0.2874948E-04   0.2500000E-03
 54.00    19.00   17  0.7500000E+00   0.3867608E-04   0.2500000E-03
 55.00    19.00   17  0.7500001E+00   0.1904521E-04   0.2500000E-03
